Number,Proverb,Other phrases (2-4),Keywords (2-4),Other keywords (3-6),Meaning,Other meanings (2-4),Example,Other examples (2-4),Fun fact,Image
1,Don't look a gift horse in the mouth,"Don't look at the outside of a horse's mouth,Don't put your fingers in a horse's mouth,Don't look at the inside of a horse's mouth","gift,horse,mouth","present,cow,sheep,face,eyes","When we receive a gift, we must show satisfaction, even if it is not to our liking.","We must be careful with horses.,When we receive a gift, we must show happiness, even if it is not to our liking.,We should always show satisfaction with a gift, if it is to our liking.","I received a red bag as a Christmas present, it is not my style, but ""...""!","She loves horses and always look at their mouth, but ""...""!,I received a small present, it is a trend, nice ""...""!,I received a nice present, I am very glad with it so ""...""!","The proverb arose in the business of selling horses. The sellers tried to pass the animal off as a youngster in order to earn more money. However, the age of horses can easily be identified by the state of their teeth. However, if offered, age is less important and we should not complain.",prov1.png
2,Slow and steady wins the race,"Slow is the best way to reach something,Slow is the worst way to win the race,Fast and steady wins the race","slow,steady,wins,race","fast,loses,game,owns,shaky,good",Working slowly and consistently leads to success.,"Enthusiastic and fast will produce better results than persistent and slow.,Working serenely and consistently leads to success.,If you work slowly, you will succeed.","After her accident, she started doing exercices and gradually she built up until she reached a very high level. ""","He works very hard in order to be promoted quickly in his career. However, only ""..."".,She's very methodical and works very very quickly in order to be promoted. However, only ""..."".,She is very ambitious, but inefficient and impatient, ""..."".","Originating from one of Aesop's fables, specifically the story ""The Tortoise and the Hare"". This story describes an egotistical hare, well-known for his speed, who is challenged to a race by a tortoise, known his slow walking speed. The tortoise won the race.",prov2.png
3,To be the black sheep of the family,"To be black when the others are white,To be dark when the others are light,To be in a minority","black,sheep,family","white,gray,goat,school,group","If you are different, you are often not accepted in a group.","If you are black and bigger than the others, they won't accept you.,If you are different, you are  accepted in a group.,If you are black, you have problems.","John does everything contrary to what his parents and family expect of him, that's what it's like ""..."".","She is different from everyone else and an example for everybody, that's what it's like ""..."".,She is beautiful and successful, she's ""..."".,Sara is the biggest and the most important in the family, that's what it's like ""..."".","The expression appeared in Antiquity (4,000 BC - AD 476), with herding, where sometimes a genetic mutation occurred and a black sheep was born, making it more difficult to sell at the market.",prov3.png
4,His bark is worse than his bite,"Don't run when a dog is barking at you,Don't move when a dog is barking at you,A dog that barks can be dangerous","bark,worse,bite","noise,better,threat,munch,teeth,claws",To appear fierce and scary to everyone without having a reason for it.,"To threaten someone, but not take action or follow through on the threats.,To appear angry and furious to everyone without having a reason for it.,To make a lot of noise without apparent reason.","That neighbour next door keeps threatening to call the police when we play music, but there is nothing to fear, ""..."". ","The new boss seems to be very chaotic, but also nice . We will wait and see if ""..."".,I am concerned with this new project, because we have a strong opposition against it. They say ""..."", but I'm afraid that's not the truth.,The teacher threated to give all his pupils a bad grade and we are afraid of it. he normally does what he says, so ""..."".",The metaphor for someone who speaks a lot but doesn't follow through with actions. It comes from the observation that dogs   can't bite when they are busy barking.,prov4.png
5,"When in Rome, do as Romans do","When in Rome, do as a gladiator,When in Rome, do exactly the same as the others do,When in Rome, you should try Italian pizza","Rome,do,Romans","Italy,eat,Italians,gladiators,fight","When visiting a foreign country, follow the customs of those who live in it.","When visiting a foreign country, copy the habits of the residents in order not to embarrass yourself.,When visiting a well-known place, follow the customs of those who live in it.,When visiting a foreign country, try not to stand out.","I don't usually drink wine except on holiday, well, ""..."".","I don't love cotton candy, but Mary convinced me to try it once and I made an effort, well, ""..."", right?,I would like to try dancing in the street and I did, well, ""..."".,My cousin's friend came to my house for the first time and didn't introduce himself, just said ""when in Rome, do as the Romans do"".","Popular saying from the 4th century d. C. (in Latin: ""Si fueris Romae, Romano vivito more, si fueris alibi, vivito sicut ibi""), when the Roman Empire was experiencing great instability and had already split in two.,St Augustine, an early Christian saint, moved to Milan and adapted to the habits of fasting there . ",prov5.png
6,Don't judge a book by its cover,"When you see a book, you don't know what's inside,When you see a book, you don't know its content,You can't judge a book well at first sight","judge,book,cover","painting,value,quality,evaluate",You should not judge the worth or value of something by its outward appearance alone.,"The cover of a book doesn't always correspond to its contents.,You should not judge the content of something by its outward appearance alone.,When you see a book, you should look inside carefully in order to judge it.","That man may look very small and insignificant, but ""..."" - he's a very powerful man in his circle.","He seems a bit of a jerk and he really is a jerk, but he can change in the future. And then we won't ""..."".,This writer is brilliant and he has sold a lot of books, so ""..."".,My cousin's friend seems a jerk, but we do not know if he really is. We need to know him better in order to ""..."".","The phrase was used in George Eliot's The Mill on the Floss in 1860. It was popularized even more when it appeared in the 1946 murder mystery Murder in the Glass Room by Lester Fuller and Edwin Rolfe: ""You can never tell a book by its cover."", and is based on life experience.",prov6.png
7,A bird in hand is worth two in the bush,"A bird in the hand is safe,A bird in your fingers is worth two in the bush,A bird suffers at the hands of a hunter","bird,hand,two,bush","one,three,five,grass,chicken,grill",Things we already have are more concrete than what we hope to get.,"If you get caught by a hunter, you are probably in trouble.,Things we already have are more safe than what we hope to get.,Be careful with hunts, they can be dangerous.","This job is not the job of my dreams, but I will take it. ""..."".","He doesn't like this job and he is not sure if he can continue with it. Besides that, is not always true that ""..."".,This job is exactly the job I was looking for, ""..."".,I prefer this job over the other one I had, but it is not permanent and ""..."".","This proverb has its origins in medieval falconry, where a bird (falcon) in hand was more valuable than two in the bush (the prey). The earliest known usage in English is in the 15th century in ""The Life of St. Katherine"" by John Capgrave.",prov7.png
8,All that glitters is not gold,"All that glitters is not silver,All that glitters doesn't shine,Gold doesn't glitter","glitters,gold","shines,silver,glass,beautiful,safe",Not all beautiful things are beautiful to look at.,"Everything that looks precious or true turns out to be shiny.,Not all beautiful things seem really beautiful to look at.,Things that look good are probably very bad.","You want to be a movie star when you grow up. The film industry looks good from a distance, but it has its own problems. Remember, ""..."".","She is considering becoming a stewardess, because she loves travelling around the world, but she's not sure, because ""..."".,I love travelling around the world and I hope that my dream comes true and I don't believe that ""...."".,This job is not the job of my dreams. It is very stressful and demanding, but ""..."".","The expression originated around the 12th century.  The Latin is ""Non omne quod nitet aurum est"".,The phrase appeared in The Merchant Of Venice, by William Shakespeare, ""All that glitters is not gold."" (William Shakespeare, Merchant of Venice, Act II Scene 7) It later became a song, ""All That Glitters Is Not Gold,"" in 1901, with words by George A. Norton and music by James W. Casey.,It also appears prominently in ""The Lord of the Rings,"" by J.R.R. Tolkien, in the poem attached to Aragorn's name.",prov8.png
9,"In the land of the blind, the one-eyed man is king","The king is the most important person, even if he isn't intelligent,The king is the most important person because he is brilliant,Among the blind, you become as important as a king","land,blind,one,king","country,smart,deaf,two,emperor,ruler",Even someone without much talent or ability is considered special by those with no talent or ability at all.,"Someone with a lot of skills is almost always in a better position and is more successful than others.,Even someone without much talent  is considered brilliant by those with no talent or ability at all.,Someone without skills is in a better position and is more successful than people who have some skills.","Despite his obvious lack of experience and skills, he became head of the department because ""..."". ","He is very intelligent, young and motivated, obviously he is the first choice for the company, ""..."".,She is intelligent and successful in her town, ""..."".,Eduard is an intersting person and has some talents, however he is not the best of all candidates . Definitely he is not ""..."". ","It comes from Latin ""in regione caecorum rex est luscus"", mentioned by  Desiderius Erasmus in  ""Adagia"" (1500).,Probably he got inspired by ""Genesis Rabbah"" (4th or 5th century CE) as ???? ????? ?????? ??????? ??? ????, meaning: ""In the street of the blind, the one-eyed man is called the Guiding Light"".",prov9.png
10,An idle brain is the devil's workshop,"The brain is the best place for the devil,The brain is the good place to think about work,Keep busy and don't allow the devil into your life","idle,brain,devil,workshop","inactive,head,angel,desk,good,human","If you have nothing to do, you'll like think of mischief.","The devil wants to make work for you.,If you have nothing to do, you'll become lazy.,It's important to try not to think about the devil","The kids should be kept busy during the summer break. You know, ""..."".","We should work hard all the time, because ""..."".,The kids should rest and be quiet during the break. You know, ""..."".,The children should be kept quiet during the lessons. Otherwise , you know ""..."".",A saying by St. Jerome (347 - 420 AD). It can be traced back to at least the 12th century when Chaucer referred to idle hands being the devil's tools.,prov10.png
